airport,date,key,value
SEA,2015-01-14,record-min-temp,8
SEA,2015-01-14,average-min-temp,37
SEA,2015-01-14,actual-max-temp,43
SEA,2015-01-14,record-max-temp,59
SEA,2015-01-14,actual-min-temp,33
SEA,2015-01-14,average-max-temp,47
AUS,2015-01-12,record-min-temp,12
AUS,2015-01-12,average-min-temp,36
AUS,2015-01-12,actual-max-temp,47
AUS,2015-01-12,record-max-temp,80
AUS,2015-01-12,actual-min-temp,42
AUS,2015-01-12,average-max-temp,62
BOS,2015-01-11,record-min-temp,-4
BOS,2015-01-11,average-min-temp,22
BOS,2015-01-11,actual-max-temp,33
BOS,2015-01-11,record-max-temp,62
BOS,2015-01-11,actual-min-temp,15
BOS,2015-01-11,average-max-temp,36
SEA,2015-01-15,record-min-temp,15
SEA,2015-01-15,average-min-temp,37
SEA,2015-01-15,actual-max-temp,46
SEA,2015-01-15,record-max-temp,58
SEA,2015-01-15,actual-min-temp,34
SEA,2015-01-15,average-max-temp,47
AUS,2015-01-13,record-min-temp,18
AUS,2015-01-13,average-min-temp,36
AUS,2015-01-13,actual-max-temp,42
AUS,2015-01-13,record-max-temp,78
AUS,2015-01-13,actual-min-temp,36
AUS,2015-01-13,average-max-temp,62
BOS,2015-01-12,record-min-temp,-10
BOS,2015-01-12,average-min-temp,22
BOS,2015-01-12,actual-max-temp,38
BOS,2015-01-12,record-max-temp,61
BOS,2015-01-12,actual-min-temp,33
BOS,2015-01-12,average-max-temp,36
SEA,2015-01-16,record-min-temp,13
SEA,2015-01-16,average-min-temp,37
SEA,2015-01-16,actual-max-temp,53
SEA,2015-01-16,record-max-temp,55
SEA,2015-01-16,actual-min-temp,42
SEA,2015-01-16,average-max-temp,47
BOS,2015-01-13,record-min-temp,-9
BOS,2015-01-13,average-min-temp,22
BOS,2015-01-13,actual-max-temp,35
BOS,2015-01-13,record-max-temp,63
BOS,2015-01-13,actual-min-temp,15
BOS,2015-01-13,average-max-temp,36
AUS,2015-01-14,record-min-temp,11
AUS,2015-01-14,average-min-temp,36
AUS,2015-01-14,actual-max-temp,41
AUS,2015-01-14,record-max-temp,79
AUS,2015-01-14,actual-min-temp,38
AUS,2015-01-14,average-max-temp,62
SEA,2015-01-17,record-min-temp,15
SEA,2015-01-17,average-min-temp,37
SEA,2015-01-17,actual-max-temp,56
SEA,2015-01-17,record-max-temp,56
SEA,2015-01-17,actual-min-temp,38
SEA,2015-01-17,average-max-temp,47
BOS,2015-01-14,record-min-temp,-8
BOS,2015-01-14,average-min-temp,22
BOS,2015-01-14,actual-max-temp,25
BOS,2015-01-14,record-max-temp,69
BOS,2015-01-14,actual-min-temp,14
BOS,2015-01-14,average-max-temp,35
AUS,2015-01-15,record-min-temp,17
AUS,2015-01-15,average-min-temp,36
AUS,2015-01-15,actual-max-temp,58
AUS,2015-01-15,record-max-temp,78
AUS,2015-01-15,actual-min-temp,35
AUS,2015-01-15,average-max-temp,62
SEA,2015-01-18,record-min-temp,9
SEA,2015-01-18,average-min-temp,37
SEA,2015-01-18,actual-max-temp,57
SEA,2015-01-18,record-max-temp,60
SEA,2015-01-18,actual-min-temp,45
SEA,2015-01-18,average-max-temp,48
BOS,2015-01-15,record-min-temp,-12
BOS,2015-01-15,average-min-temp,22
BOS,2015-01-15,actual-max-temp,31
BOS,2015-01-15,record-max-temp,66
BOS,2015-01-15,actual-min-temp,25
BOS,2015-01-15,average-max-temp,35
AUS,2015-01-16,record-min-temp,19
AUS,2015-01-16,average-min-temp,36
AUS,2015-01-16,actual-max-temp,63
AUS,2015-01-16,record-max-temp,82
AUS,2015-01-16,actual-min-temp,27
AUS,2015-01-16,average-max-temp,62
SEA,2015-01-19,record-min-temp,18
SEA,2015-01-19,average-min-temp,37
SEA,2015-01-19,actual-max-temp,50
SEA,2015-01-19,record-max-temp,62
SEA,2015-01-19,actual-min-temp,43
SEA,2015-01-19,average-max-temp,48
BOS,2015-01-16,record-min-temp,-7
BOS,2015-01-16,average-min-temp,22
BOS,2015-01-16,actual-max-temp,38
BOS,2015-01-16,record-max-temp,64
BOS,2015-01-16,actual-min-temp,15
BOS,2015-01-16,average-max-temp,35
AUS,2015-01-17,record-min-temp,21
AUS,2015-01-17,average-min-temp,36
AUS,2015-01-17,actual-max-temp,71
AUS,2015-01-17,record-max-temp,80
AUS,2015-01-17,actual-min-temp,33
AUS,2015-01-17,average-max-temp,62
SEA,2015-01-20,record-min-temp,16
SEA,2015-01-20,average-min-temp,37
SEA,2015-01-20,actual-max-temp,50
SEA,2015-01-20,record-max-temp,64
SEA,2015-01-20,actual-min-temp,38
SEA,2015-01-20,average-max-temp,48
BOS,2015-01-17,record-min-temp,-4
BOS,2015-01-17,average-min-temp,22
BOS,2015-01-17,actual-max-temp,22
BOS,2015-01-17,record-max-temp,59
BOS,2015-01-17,actual-min-temp,9
BOS,2015-01-17,average-max-temp,35
AUS,2015-01-18,record-min-temp,19
AUS,2015-01-18,average-min-temp,36
AUS,2015-01-18,actual-max-temp,70
AUS,2015-01-18,record-max-temp,83
AUS,2015-01-18,actual-min-temp,32
AUS,2015-01-18,average-max-temp,62
SEA,2015-01-21,record-min-temp,13
SEA,2015-01-21,average-min-temp,37
SEA,2015-01-21,actual-max-temp,45
SEA,2015-01-21,record-max-temp,62
SEA,2015-01-21,actual-min-temp,31
SEA,2015-01-21,average-max-temp,48
BOS,2015-01-18,record-min-temp,-3
BOS,2015-01-18,average-min-temp,22
BOS,2015-01-18,actual-max-temp,51
BOS,2015-01-18,record-max-temp,63
BOS,2015-01-18,actual-min-temp,20
BOS,2015-01-18,average-max-temp,35
AUS,2015-01-19,record-min-temp,14
AUS,2015-01-19,average-min-temp,36
AUS,2015-01-19,actual-max-temp,72
AUS,2015-01-19,record-max-temp,86
AUS,2015-01-19,actual-min-temp,29
AUS,2015-01-19,average-max-temp,62
SEA,2015-01-22,record-min-temp,19
SEA,2015-01-22,average-min-temp,37
SEA,2015-01-22,actual-max-temp,49
SEA,2015-01-22,record-max-temp,60
SEA,2015-01-22,actual-min-temp,43
SEA,2015-01-22,average-max-temp,48
BOS,2015-01-19,record-min-temp,-6
BOS,2015-01-19,average-min-temp,22
BOS,2015-01-19,actual-max-temp,46
BOS,2015-01-19,record-max-temp,61
BOS,2015-01-19,actual-min-temp,32
BOS,2015-01-19,average-max-temp,35
AUS,2015-01-20,record-min-temp,15
AUS,2015-01-20,average-min-temp,36
AUS,2015-01-20,actual-max-temp,80
AUS,2015-01-20,record-max-temp,82
AUS,2015-01-20,actual-min-temp,33
AUS,2015-01-20,average-max-temp,62
SEA,2015-01-23,record-min-temp,16
SEA,2015-01-23,average-min-temp,37
SEA,2015-01-23,actual-max-temp,54
SEA,2015-01-23,record-max-temp,56
SEA,2015-01-23,actual-min-temp,47
SEA,2015-01-23,average-max-temp,48
BOS,2015-01-20,record-min-temp,-3
BOS,2015-01-20,average-min-temp,22
BOS,2015-01-20,actual-max-temp,39
BOS,2015-01-20,record-max-temp,60
BOS,2015-01-20,actual-min-temp,27
BOS,2015-01-20,average-max-temp,35
AUS,2015-01-21,record-min-temp,17
AUS,2015-01-21,average-min-temp,37
AUS,2015-01-21,actual-max-temp,56
AUS,2015-01-21,record-max-temp,81
AUS,2015-01-21,actual-min-temp,48
AUS,2015-01-21,average-max-temp,62
SEA,2015-01-24,record-min-temp,10
SEA,2015-01-24,average-min-temp,37
SEA,2015-01-24,actual-max-temp,58
SEA,2015-01-24,record-max-temp,58
SEA,2015-01-24,actual-min-temp,52
SEA,2015-01-24,average-max-temp,48
BOS,2015-01-21,record-min-temp,0
BOS,2015-01-21,average-min-temp,22
BOS,2015-01-21,actual-max-temp,34
BOS,2015-01-21,record-max-temp,68
BOS,2015-01-21,actual-min-temp,22
BOS,2015-01-21,average-max-temp,35
AUS,2015-01-22,record-min-temp,20
AUS,2015-01-22,average-min-temp,37
AUS,2015-01-22,actual-max-temp,53
AUS,2015-01-22,record-max-temp,83
AUS,2015-01-22,actual-min-temp,40
AUS,2015-01-22,average-max-temp,62
SEA,2015-01-25,record-min-temp,7
SEA,2015-01-25,average-min-temp,37
SEA,2015-01-25,actual-max-temp,63
SEA,2015-01-25,record-max-temp,63
SEA,2015-01-25,actual-min-temp,45
SEA,2015-01-25,average-max-temp,48
BOS,2015-01-22,record-min-temp,-3
BOS,2015-01-22,average-min-temp,22
BOS,2015-01-22,actual-max-temp,37
BOS,2015-01-22,record-max-temp,66
BOS,2015-01-22,actual-min-temp,29
BOS,2015-01-22,average-max-temp,36
AUS,2015-01-23,record-min-temp,18
AUS,2015-01-23,average-min-temp,37
AUS,2015-01-23,actual-max-temp,50
AUS,2015-01-23,record-max-temp,89
AUS,2015-01-23,actual-min-temp,34
AUS,2015-01-23,average-max-temp,62
SEA,2015-01-26,record-min-temp,9
SEA,2015-01-26,average-min-temp,37
SEA,2015-01-26,actual-max-temp,61
SEA,2015-01-26,record-max-temp,61
SEA,2015-01-26,actual-min-temp,43
SEA,2015-01-26,average-max-temp,48
BOS,2015-01-23,record-min-temp,-6
BOS,2015-01-23,average-min-temp,22
BOS,2015-01-23,actual-max-temp,37
BOS,2015-01-23,record-max-temp,68
BOS,2015-01-23,actual-min-temp,24
BOS,2015-01-23,average-max-temp,36
AUS,2015-01-24,record-min-temp,14
AUS,2015-01-24,average-min-temp,37
AUS,2015-01-24,actual-max-temp,62
AUS,2015-01-24,record-max-temp,82
AUS,2015-01-24,actual-min-temp,26
AUS,2015-01-24,average-max-temp,62
SEA,2015-01-27,record-min-temp,11
SEA,2015-01-27,average-min-temp,37
SEA,2015-01-27,actual-max-temp,52
SEA,2015-01-27,record-max-temp,58
SEA,2015-01-27,actual-min-temp,47
SEA,2015-01-27,average-max-temp,48
BOS,2015-01-24,record-min-temp,-13
BOS,2015-01-24,average-min-temp,22
BOS,2015-01-24,actual-max-temp,34
BOS,2015-01-24,record-max-temp,62
BOS,2015-01-24,actual-min-temp,31
BOS,2015-01-24,average-max-temp,36
AUS,2015-01-25,record-min-temp,19
AUS,2015-01-25,average-min-temp,37
AUS,2015-01-25,actual-max-temp,72
AUS,2015-01-25,record-max-temp,89
AUS,2015-01-25,actual-min-temp,32
AUS,2015-01-25,average-max-temp,62
SEA,2015-01-28,record-min-temp,7
SEA,2015-01-28,average-min-temp,37
SEA,2015-01-28,actual-max-temp,54
SEA,2015-01-28,record-max-temp,57
SEA,2015-01-28,actual-min-temp,41
SEA,2015-01-28,average-max-temp,48
AUS,2015-01-26,record-min-temp,24
AUS,2015-01-26,average-min-temp,37
AUS,2015-01-26,actual-max-temp,74
AUS,2015-01-26,record-max-temp,86
AUS,2015-01-26,actual-min-temp,34
AUS,2015-01-26,average-max-temp,62
BOS,2015-01-25,record-min-temp,-5
BOS,2015-01-25,average-min-temp,22
BOS,2015-01-25,actual-max-temp,38
BOS,2015-01-25,record-max-temp,59
BOS,2015-01-25,actual-min-temp,19
BOS,2015-01-25,average-max-temp,36
SEA,2015-01-29,record-min-temp,6
SEA,2015-01-29,average-min-temp,37
SEA,2015-01-29,actual-max-temp,54
SEA,2015-01-29,record-max-temp,60
SEA,2015-01-29,actual-min-temp,38
SEA,2015-01-29,average-max-temp,49
AUS,2015-01-27,record-min-temp,21
AUS,2015-01-27,average-min-temp,37
AUS,2015-01-27,actual-max-temp,80
AUS,2015-01-27,record-max-temp,84
AUS,2015-01-27,actual-min-temp,35
AUS,2015-01-27,average-max-temp,62
BOS,2015-01-26,record-min-temp,0
BOS,2015-01-26,average-min-temp,22
BOS,2015-01-26,actual-max-temp,29
BOS,2015-01-26,record-max-temp,72
BOS,2015-01-26,actual-min-temp,11
BOS,2015-01-26,average-max-temp,36
SEA,2015-01-30,record-min-temp,7
SEA,2015-01-30,average-min-temp,37
SEA,2015-01-30,actual-max-temp,47
SEA,2015-01-30,record-max-temp,59
SEA,2015-01-30,actual-min-temp,34
SEA,2015-01-30,average-max-temp,49
AUS,2015-01-28,record-min-temp,18
AUS,2015-01-28,average-min-temp,37
AUS,2015-01-28,actual-max-temp,80
AUS,2015-01-28,record-max-temp,80
AUS,2015-01-28,actual-min-temp,36
AUS,2015-01-28,average-max-temp,62
BOS,2015-01-27,record-min-temp,-6
BOS,2015-01-27,average-min-temp,22
BOS,2015-01-27,actual-max-temp,19
BOS,2015-01-27,record-max-temp,63
BOS,2015-01-27,actual-min-temp,14
BOS,2015-01-27,average-max-temp,36
SEA,2015-01-31,record-min-temp,0
SEA,2015-01-31,average-min-temp,37
SEA,2015-01-31,actual-max-temp,45
SEA,2015-01-31,record-max-temp,61
SEA,2015-01-31,actual-min-temp,38
SEA,2015-01-31,average-max-temp,49
AUS,2015-01-29,record-min-temp,17
AUS,2015-01-29,average-min-temp,37
AUS,2015-01-29,actual-max-temp,76
AUS,2015-01-29,record-max-temp,85
AUS,2015-01-29,actual-min-temp,44
AUS,2015-01-29,average-max-temp,63
SEA,2015-02-01,record-min-temp,1
SEA,2015-02-01,average-min-temp,37
SEA,2015-02-01,actual-max-temp,49
SEA,2015-02-01,record-max-temp,63
SEA,2015-02-01,actual-min-temp,40
SEA,2015-02-01,average-max-temp,49
AUS,2015-01-30,record-min-temp,0
AUS,2015-01-30,average-min-temp,37
AUS,2015-01-30,actual-max-temp,58
AUS,2015-01-30,record-max-temp,88
AUS,2015-01-30,actual-min-temp,44
AUS,2015-01-30,average-max-temp,63
BOS,2015-01-28,record-min-temp,-5
BOS,2015-01-28,average-min-temp,22
BOS,2015-01-28,actual-max-temp,24
BOS,2015-01-28,record-max-temp,63
BOS,2015-01-28,actual-min-temp,13
BOS,2015-01-28,average-max-temp,36
BOS,2015-01-29,record-min-temp,-6
BOS,2015-01-29,average-min-temp,22
BOS,2015-01-29,actual-max-temp,32
BOS,2015-01-29,record-max-temp,65
BOS,2015-01-29,actual-min-temp,10
BOS,2015-01-29,average-max-temp,36
SEA,2015-02-02,record-min-temp,8
SEA,2015-02-02,average-min-temp,37
SEA,2015-02-02,actual-max-temp,52
SEA,2015-02-02,record-max-temp,64
SEA,2015-02-02,actual-min-temp,41
SEA,2015-02-02,average-max-temp,49
AUS,2015-01-31,record-min-temp,-5
AUS,2015-01-31,average-min-temp,37
AUS,2015-01-31,actual-max-temp,62
AUS,2015-01-31,record-max-temp,82
AUS,2015-01-31,actual-min-temp,43
AUS,2015-01-31,average-max-temp,63
SEA,2015-02-03,record-min-temp,8
SEA,2015-02-03,average-min-temp,37
SEA,2015-02-03,actual-max-temp,50
SEA,2015-02-03,record-max-temp,63
SEA,2015-02-03,actual-min-temp,42
SEA,2015-02-03,average-max-temp,49
AUS,2015-02-01,record-min-temp,13
AUS,2015-02-01,average-min-temp,37
AUS,2015-02-01,actual-max-temp,73
AUS,2015-02-01,record-max-temp,83
AUS,2015-02-01,actual-min-temp,44
AUS,2015-02-01,average-max-temp,63
BOS,2015-01-30,record-min-temp,-5
BOS,2015-01-30,average-min-temp,22
BOS,2015-01-30,actual-max-temp,34
BOS,2015-01-30,record-max-temp,63
BOS,2015-01-30,actual-min-temp,19
BOS,2015-01-30,average-max-temp,36
AUS,2015-02-02,record-min-temp,8
AUS,2015-02-02,average-min-temp,37
AUS,2015-02-02,actual-max-temp,47
AUS,2015-02-02,record-max-temp,85
AUS,2015-02-02,actual-min-temp,33
AUS,2015-02-02,average-max-temp,63
BOS,2015-01-31,record-min-temp,-8
BOS,2015-01-31,average-min-temp,23
BOS,2015-01-31,actual-max-temp,21
BOS,2015-01-31,record-max-temp,62
BOS,2015-01-31,actual-min-temp,11
BOS,2015-01-31,average-max-temp,36
SEA,2015-02-04,record-min-temp,7
SEA,2015-02-04,average-min-temp,37
SEA,2015-02-04,actual-max-temp,51
SEA,2015-02-04,record-max-temp,63
SEA,2015-02-04,actual-min-temp,40
SEA,2015-02-04,average-max-temp,49
AUS,2015-02-03,record-min-temp,16
AUS,2015-02-03,average-min-temp,38
AUS,2015-02-03,actual-max-temp,43
AUS,2015-02-03,record-max-temp,80
AUS,2015-02-03,actual-min-temp,38
AUS,2015-02-03,average-max-temp,63
BOS,2015-02-01,record-min-temp,-7
BOS,2015-02-01,average-min-temp,23
BOS,2015-02-01,actual-max-temp,30
BOS,2015-02-01,record-max-temp,66
BOS,2015-02-01,actual-min-temp,12
BOS,2015-02-01,average-max-temp,36
SEA,2015-02-05,record-min-temp,14
SEA,2015-02-05,average-min-temp,37
SEA,2015-02-05,actual-max-temp,56
SEA,2015-02-05,record-max-temp,62
SEA,2015-02-05,actual-min-temp,47
SEA,2015-02-05,average-max-temp,49
AUS,2015-02-04,record-min-temp,20
AUS,2015-02-04,average-min-temp,38
AUS,2015-02-04,actual-max-temp,57
AUS,2015-02-04,record-max-temp,84
AUS,2015-02-04,actual-min-temp,42
AUS,2015-02-04,average-max-temp,63
SEA,2015-02-06,record-min-temp,18
SEA,2015-02-06,average-min-temp,37
SEA,2015-02-06,actual-max-temp,58
SEA,2015-02-06,record-max-temp,64
SEA,2015-02-06,actual-min-temp,50
SEA,2015-02-06,average-max-temp,49
BOS,2015-02-02,record-min-temp,-5
BOS,2015-02-02,average-min-temp,23
BOS,2015-02-02,actual-max-temp,31
BOS,2015-02-02,record-max-temp,55
BOS,2015-02-02,actual-min-temp,10
BOS,2015-02-02,average-max-temp,37
AUS,2015-02-05,record-min-temp,17
AUS,2015-02-05,average-min-temp,38
AUS,2015-02-05,actual-max-temp,52
AUS,2015-02-05,record-max-temp,83
AUS,2015-02-05,actual-min-temp,39
AUS,2015-02-05,average-max-temp,63
SEA,2015-02-07,record-min-temp,20
SEA,2015-02-07,average-min-temp,37
SEA,2015-02-07,actual-max-temp,54
SEA,2015-02-07,record-max-temp,66
SEA,2015-02-07,actual-min-temp,49
SEA,2015-02-07,average-max-temp,49
BOS,2015-02-03,record-min-temp,-5
BOS,2015-02-03,average-min-temp,23
BOS,2015-02-03,actual-max-temp,22
BOS,2015-02-03,record-max-temp,59
BOS,2015-02-03,actual-min-temp,6
BOS,2015-02-03,average-max-temp,37
AUS,2015-02-06,record-min-temp,21
AUS,2015-02-06,average-min-temp,38
AUS,2015-02-06,actual-max-temp,58
AUS,2015-02-06,record-max-temp,79
AUS,2015-02-06,actual-min-temp,37
AUS,2015-02-06,average-max-temp,63
SEA,2015-02-08,record-min-temp,22
SEA,2015-02-08,average-min-temp,37
SEA,2015-02-08,actual-max-temp,59
SEA,2015-02-08,record-max-temp,68
SEA,2015-02-08,actual-min-temp,47
SEA,2015-02-08,average-max-temp,49
BOS,2015-02-04,record-min-temp,-2
BOS,2015-02-04,average-min-temp,23
BOS,2015-02-04,actual-max-temp,38
BOS,2015-02-04,record-max-temp,64
BOS,2015-02-04,actual-min-temp,14
BOS,2015-02-04,average-max-temp,37
AUS,2015-02-07,record-min-temp,19
AUS,2015-02-07,average-min-temp,38
AUS,2015-02-07,actual-max-temp,68
AUS,2015-02-07,record-max-temp,84
AUS,2015-02-07,actual-min-temp,38
AUS,2015-02-07,average-max-temp,64
SEA,2015-02-09,record-min-temp,26
SEA,2015-02-09,average-min-temp,37
SEA,2015-02-09,actual-max-temp,56
SEA,2015-02-09,record-max-temp,62
SEA,2015-02-09,actual-min-temp,47
SEA,2015-02-09,average-max-temp,49
BOS,2015-02-05,record-min-temp,-10
BOS,2015-02-05,average-min-temp,23
BOS,2015-02-05,actual-max-temp,36
BOS,2015-02-05,record-max-temp,65
BOS,2015-02-05,actual-min-temp,7
